number,category,confidence,area,version,has_repro,likely_fixed_by_port,summary,html_url
19331,assert,high,cli/create,1.2.7,yes,yes,'Internal assertion failure' in create_command.zig fetchAll when 'bun create' is given a Windows path with forward slashes,https://github.com/oven-sh/bun/issues/19331
19336,crash,high,napi,1.2.10,yes,no,webgpu npm package hits its own weak-stub napi_* symbols (UNREACHABLE) instead of Bun's exports → segfault on macOS,https://github.com/oven-sh/bun/issues/19336
19366,crash,medium,http-server/runtime,1.2.11,no,yes,Segfault at 0xD0 under k6 load test (Express+Redis+oracledb) on alpine; trace in node_assert myersDiff / string.zig (partly garbled),https://github.com/oven-sh/bun/issues/19366
19386,crash,medium,test-runner,1.2.2,no,no,Segfault at 0x18 in JSC::CodeBlock::finishCreation during module evaluation under 'bun test',https://github.com/oven-sh/bun/issues/19386
19396,double-free,medium,crypto,1.2.9,no,no,malloc heap corruption in OPENSSL_free during CryptoKeyRSA destructor (JSC GC sweep) after long-running Next.js dev,https://github.com/oven-sh/bun/issues/19396
19416,crash,medium,ffi,1.2.11,yes,no,Segfault at 0x0 when read.u16() dereferences pointer obtained via read.ptr() from GLFW gamma ramp struct,https://github.com/oven-sh/bun/issues/19416
19434,crash,high,fs,1.2.11,no,yes,Segfault in mi_heap_malloc via toUTF16Alloc during fs.readFileSync encoding conversion (regression from 1.2.10),https://github.com/oven-sh/bun/issues/19434
19470,crash,medium,sqlite,1.2.12,no,no,Segfault in JSC MarkingConstraintSolver/SlotVisitor GC thread while inserting millions of rows via bun:sqlite,https://github.com/oven-sh/bun/issues/19470
19472,crash,high,install,1.2.12,yes,yes,Segfault in http.zig onClose via ssl_wrapper.triggerCloseCallback on Windows during bun install (HTTP thread),https://github.com/oven-sh/bun/issues/19472
19500,not-memory,high,tooling,1.2.12,yes,no,bunx bun-pr downloads non-baseline build on baseline-only CPU causing SIGILL; feature request to autodetect,https://github.com/oven-sh/bun/issues/19500
19501,assert,high,glob,1.2.4,yes,yes,panic 'Do not pass posix paths to Windows APIs' in glob.__scanSync when @flydotio/dockerfile scans '/build' on Windows,https://github.com/oven-sh/bun/issues/19501
19504,assert,high,install,1.2.10,yes,yes,Internal assertion failure in js_ast.asProperty via PackageJSONEditor when bun link gets multiple/malformed args,https://github.com/oven-sh/bun/issues/19504
19513,crash,high,sql,1.2.12,yes,yes,panic 'integer cast truncated bits' in postgres.zig pwrite when sending very large parameterized INSERT,https://github.com/oven-sh/bun/issues/19513
19534,crash,high,test-runner,1.2.12,yes,yes,panic 'integer overflow' in pretty_format.zig forEach when toMatchSnapshot serializes deep DOM element,https://github.com/oven-sh/bun/issues/19534
19548,crash,high,napi,1.2.12,yes,no,"Segfault inside @libsql/client native addon (index.node, ntdll) during looped awaits in transaction",https://github.com/oven-sh/bun/issues/19548
19584,assert,high,resolver,1.2.13,yes,yes,panic 'cannot resolve DirInfo for non-absolute path: tsconfig.node.json' in resolver during webpack --bun on Windows,https://github.com/oven-sh/bun/issues/19584
19594,crash,high,resolver,1.2.14-canary,yes,yes,Segfault in StringOrTinyString.initLowerCaseAppendIfNeeded via fs.DirEntry.addEntry during readdir (canary regression),https://github.com/oven-sh/bun/issues/19594
19596,oom,medium,runtime,1.2.13,no,no,Aborted at startup: mmap returns ENOMEM for large VM reservation when vm.overcommit_memory=2 (strict) on Linux,https://github.com/oven-sh/bun/issues/19596
19606,crash,high,http,1.2.14-canary,yes,yes,Segfault in uWS RouteHandler dispatch after server.stop() on SIGINT while requests still arriving (listener==null UAF),https://github.com/oven-sh/bun/issues/19606
19627,assert,high,install,1.2.13,yes,yes,Internal assertion failure in PackageJSONEditor.edit when bun add -g receives extra stray argument (e.g. trailing backslash),https://github.com/oven-sh/bun/issues/19627
19650,crash,high,shell,1.2.14-canary,yes,no,Segfault when Bun.$/Bun.sql lazy property is first accessed inside catch of stack-overflow recursion (reifyStaticProperties throws),https://github.com/oven-sh/bun/issues/19650
19651,crash,high,bake,1.2.13,yes,yes,"panic 'index out of bounds: index 1, len 1' in DevServer HMR onData when serving index.html outside project dir",https://github.com/oven-sh/bun/issues/19651
19678,crash,high,napi,1.2.13,yes,no,Segfault when google pprof-nodejs (V8 CpuProfiler native addon) calls into unimplemented V8 C++ API,https://github.com/oven-sh/bun/issues/19678
19685,needs-repro,low,test-runner,1.2.13,no,no,Segfault in JSC Lexer/parser frames during large bun test run; user narrowed to mock() callback but no minimal repro,https://github.com/oven-sh/bun/issues/19685
19688,crash,high,napi/v8-shim,1.2.13,yes,no,SIGSEGV at 0x0 in v8::shim::FunctionTemplate::functionCall when loading node-pty (nan-based native module),https://github.com/oven-sh/bun/issues/19688
19690,crash,high,transpiler/macros,1.2.14-canary,yes,yes,SIGSEGV in js_parser.zig visitExprInOut when macro returns dynamically-built array of objects,https://github.com/oven-sh/bun/issues/19690
19733,crash,high,bundler,1.2.13,yes,yes,Null deref in bundle_v2.zig generateChunksInParallel when plugin onLoad returns loader:'file' for .json entrypoint,https://github.com/oven-sh/bun/issues/19733
19802,crash,high,http/uws,1.2.13,no,no,SIGSEGV at 0x7C in uWS::HttpContext::init lambda via sweep_timer_cb after long-running NAPI workload,https://github.com/oven-sh/bun/issues/19802
19868,crash,high,http/server/tls,1.2.3,yes,yes,SIGSEGV in server.zig StaticRoute.onResponseComplete when serving HTTPS with self-signed cert (regression 1.2.3),https://github.com/oven-sh/bun/issues/19868
19904,assert,high,resolver/dev-server,1.2.14,no,yes,Internal assertion failure in tsconfig_json.zig mergeJSX during --hot reload with tailwind plugin,https://github.com/oven-sh/bun/issues/19904
19909,not-memory,high,feature-request,,no,no,Feature request for built-in LMDB key-value store — not a crash or leak,https://github.com/oven-sh/bun/issues/19909
19917,crash,medium,napi,1.2.14,no,no,'A C++ exception occurred' panic when loading @huggingface/transformers (onnxruntime-node NAPI),https://github.com/oven-sh/bun/issues/19917
19930,leak,medium,http/node:http,1.2.14,yes,no,RSS grows unbounded with express healthcheck under Docker (more retained JS objects vs local),https://github.com/oven-sh/bun/issues/19930
19935,not-memory,high,debugger,1.2.14,yes,no,JS TypeError in WebInspectorUI frontend (ScriptSyntaxTree.js) when stepping into optional-chaining expr — not a process crash,https://github.com/oven-sh/bun/issues/19935
19954,crash,low,test-runner/napi,1.2.14,no,no,SIGSEGV inside JSC llint_call_javascript during bun test in CI (NAPI module loaded); only a CI log link provided,https://github.com/oven-sh/bun/issues/19954
20019,crash,high,streams/webcore,1.2.15,yes,no,SIGSEGV in WebCore::getDOMStructure<JSTransformStream> when running Next.js Ollama UI,https://github.com/oven-sh/bun/issues/20019
20069,crash,medium,worker/jsc-allocator,1.2.15,no,no,SIGILL in libpas pas_thread_local_cache during WTF thread teardown while running vite build with workers,https://github.com/oven-sh/bun/issues/20069
20079,crash,low,resolver/dev-server,1.2.14,no,yes,"SIGSEGV in multi_array_list growCapacity / SemverString.slice via resolveWithFramework (Windows, no repro provided)",https://github.com/oven-sh/bun/issues/20079
20084,crash,high,install,1.2.15,no,yes,SIGSEGV in install.zig installPackages after multiple tarball integrity/ZlibError failures,https://github.com/oven-sh/bun/issues/20084
20103,crash,high,test-runner/expect,1.2.16-canary,no,no,SIGSEGV at 0x4 in Bun__deepEquals (bindings.cpp) during expect().toEqual on MobX observable,https://github.com/oven-sh/bun/issues/20103
20104,crash,high,net/tls/sockets,1.2.15,no,yes,"SIGSEGV (ASCII-looking address, likely UAF) in uws.zig NewSocketHandler via ssl_on_close when TLS DB connection drops",https://github.com/oven-sh/bun/issues/20104
20125,crash,medium,http/server,1.2.15,yes,no,"SIGSEGV at 0x0 in JSC llint during Elysia onRequest with request.clone().json() (regression from 1.2.14, standalone executable)",https://github.com/oven-sh/bun/issues/20125
20133,crash,high,transpiler/parser,1.2.16-canary,no,yes,SIGSEGV at 0x4 in string.zig createUninitializedLatin1 while parsing typescript.js via lint-staged/eslint,https://github.com/oven-sh/bun/issues/20133
20149,crash,high,napi/v8-shim,1.2.15,yes,no,SIGSEGV at 0x10 loading @pokusew/node-pcsclite (nan/V8 native addon) — crashes during dlopen/module init,https://github.com/oven-sh/bun/issues/20149
20258,crash,high,fs,1.2.15,yes,yes,fs.existsSync panics 'index out of bounds' for path lengths 49151-98302 on Windows (PathBuffer pool put),https://github.com/oven-sh/bun/issues/20258
20263,crash,high,napi,1.2.10,no,no,Segfault at 0x40 in napi_env::mustDeferFinalizers during JSC heap sweep on Windows running Next.js,https://github.com/oven-sh/bun/issues/20263
20302,crash,medium,debugger,1.2.12,no,yes,panic 'Failed to configure defines' on inspector worker thread when running with --inspect on Windows,https://github.com/oven-sh/bun/issues/20302
20304,not-memory,high,crash-reporter,,no,no,Feature request: wrap crash reporter error message in a markdown code block in GitHub issue template,https://github.com/oven-sh/bun/issues/20304
20306,crash,high,http,1.2.15,no,no,Segfault in add_ca_cert_to_ctx_store creating SSL socket context for HTTP client thread on macOS,https://github.com/oven-sh/bun/issues/20306
20324,crash,medium,webcore,1.2.15,no,no,Segfault in JSRopeString::iterRopeSlowCase via TextEncoder.encode during vite build on Cloudflare Pages,https://github.com/oven-sh/bun/issues/20324
20341,needs-repro,low,runtime,1.2.15,no,no,Segfault on linux x86_64_baseline in GCR with garbled/mis-symbolicated stack; no repro provided,https://github.com/oven-sh/bun/issues/20341
20371,assert,high,install,1.2.16,yes,no,Internal assertion failure in npm.zig version-sort sanity check when registry has non-standard semver like '1.1' or '0.00938477',https://github.com/oven-sh/bun/issues/20371
20372,crash,medium,napi,1.2.16,no,no,Segfault at 0x8 using sharp on linux x86_64_baseline (fly.io); 1-frame trace,https://github.com/oven-sh/bun/issues/20372
20407,duplicate,high,runtime,1.2.2,no,no,Segfault in llint put_by_id slow path on macOS during SMTP server listen; auto-closed as duplicate of #23894,https://github.com/oven-sh/bun/issues/20407
20417,crash,high,install,1.2.16,no,yes,panic 'reached unreachable code' in ini.zig prepareStr while parsing user's .npmrc during bun install,https://github.com/oven-sh/bun/issues/20417
20429,crash,high,jsc,1.2.9,no,no,Floating point exception in JSC SlotVisitor::drain / JSString::visitChildren on GC heap thread,https://github.com/oven-sh/bun/issues/20429
20454,crash,high,napi,1.2.14,yes,no,Null-pointer call in node_module_register when dlopening re2.node built via bun's node-gyp shim (ASAN confirmed),https://github.com/oven-sh/bun/issues/20454
20475,duplicate,medium,jsc,1.2.16,no,no,Segfault in JSC UnlinkedMetadataTable::link memset after 8h Astro dev session (RSS 2GB); closed as dup of #24584,https://github.com/oven-sh/bun/issues/20475
20485,duplicate,medium,install,1.2.16,no,no,"SIGILL during bun install on alpine GitLab runner (no_avx2 baseline, garbled stack); closed as dup of #23353",https://github.com/oven-sh/bun/issues/20485
20487,leak,high,s3,1.2.16,yes,yes,"RSS grows unbounded downloading large files via Bun.s3 (and @google-cloud/storage); never released after GC, fetch unaffected",https://github.com/oven-sh/bun/issues/20487
20514,crash,high,runtime,1.2.16,yes,no,Segfault accessing process.env when Object.prototype['1'] has throwing setter; LazyProperty init derefs null on Windows,https://github.com/oven-sh/bun/issues/20514
20519,crash,high,http,1.2.14,no,yes,Segfault in us_socket_close (called twice) via NodeHTTPServerSocketClose when Vite restarts server on .env change,https://github.com/oven-sh/bun/issues/20519
20568,assert,high,install,1.2.17,yes,no,Internal assertion failure in Package.zig parseWithJSON when workspace root is on a Windows subst drive (path mismatch),https://github.com/oven-sh/bun/issues/20568
20641,needs-repro,low,runtime,1.2.16,no,no,Segfault in bunVMConcurrently / JSVMClientData cast during uv signal req processing on Windows; no repro,https://github.com/oven-sh/bun/issues/20641
20647,assert,high,install,1.2.18-canary,yes,yes,bun add <remote-tarball-url> with query string causes dependency loop then 'Internal assertion failure' in js_ast.zig asProperty via install.zig updatePackageJSONAndInstall,https://github.com/oven-sh/bun/issues/20647
20663,crash,medium,napi,1.2.17,yes,yes,panic 'NAPI FATAL Error::New' from napi_get_last_error_info when node-llama-cpp addon queries error state,https://github.com/oven-sh/bun/issues/20663
20710,crash,high,fs,1.2.18-canary,no,yes,Segfault at 0x10 (null ClassInfo) in node_fs_watcher.zig run() — FSWatcher callback fires after JS object freed (chokidar long-running),https://github.com/oven-sh/bun/issues/20710
20718,not-memory,high,module-loader,1.2.17,yes,no,"TypeError 'Expected CommonJS module to have a function wrapper' when mixing ESM import + module.exports — module-format detection bug, not a crash",https://github.com/oven-sh/bun/issues/20718
20760,not-memory,high,deploy-lambda,1.2.17,yes,no,"Lambda runtime.ts emits both `cookies` and `multiValueHeaders` causing API Gateway v2 502 — no Bun crash, response-shaping bug in TS layer",https://github.com/oven-sh/bun/issues/20760
20764,crash,high,runtime,1.2.17,no,no,Segfault at 0x1BC inside JSC MarkedBlock::Handle::sweep / LocalAllocator during JSFinalObject allocation after ~14min idle (Windows),https://github.com/oven-sh/bun/issues/20764
20786,crash,high,http-server,1.2.17,no,yes,Segfault at 0x10 in Request__create (null VM clientData) called from server.zig onRequest — Request.toJS on torn-down VM/globalObject,https://github.com/oven-sh/bun/issues/20786
20797,crash,high,fetch,1.2.17,no,yes,panic 'Failed to start HTTP Client thread: SystemResources' — Thread.spawn fails under resource limits and Zig code panics instead of throwing,https://github.com/oven-sh/bun/issues/20797
20798,assert,high,install,1.2.17,yes,yes,bun install panics 'Internal assertion failure' in lockfile/Package.zig parseWithJSON on Windows monorepo (still in 1.3.11),https://github.com/oven-sh/bun/issues/20798
20816,not-memory,high,windows,1.2.18,yes,no,"Segfault originates inside dgapi64.dll (Digital Guardian antivirus hook), not Bun code — AV injects and faults",https://github.com/oven-sh/bun/issues/20816
20912,leak,medium,fetch,1.2.18,no,yes,Thousands of fetch() calls leak memory to ~2.5GB then segfault in us_internal_ssl_socket_close on HTTP thread (still repros 1.3.9),https://github.com/oven-sh/bun/issues/20912
20967,crash,low,runtime,1.2.13,no,no,Segfault at 0x7C after ~18h idle in production; stack trace is garbled/mis-symbolicated (crash-reporter-bug label),https://github.com/oven-sh/bun/issues/20967
20970,crash,high,runtime,1.2.18-canary,no,no,Segfault at 0xA4E in JSC Lexer<char16_t>::setCode during ScriptExecutable::prepareForExecution (Windows),https://github.com/oven-sh/bun/issues/20970
20971,crash,high,runtime,1.2.15,no,no,"SIGILL in bmalloc local allocator during JSC CodeBlock construction (linux baseline, standalone executable)",https://github.com/oven-sh/bun/issues/20971
21002,crash,high,sql,1.2.18,no,no,Segfault at 0x8 in JSC Heap IncrementalSweeper / WeakSet after ~2h running Bun.serve + postgres + redis (heap corruption during GC),https://github.com/oven-sh/bun/issues/21002
21017,crash,high,bake-dev,1.2.18,yes,yes,Segfault in Watcher.zig threadMain when dev server fails to bind port 3000 (port already in use),https://github.com/oven-sh/bun/issues/21017
21041,assert,high,bake-dev,1.2.18,yes,yes,"panic 'Internal assertion failure' in DevServer.zig checkRouteFailures via HTMLBundle.onAnyRequest (React+shadcn template, Windows)",https://github.com/oven-sh/bun/issues/21041
21051,assert,medium,install,1.2.1-canary,yes,yes,bun install panics 'Internal assertion failure' on Windows gitbash with OpenCut monorepo (still repros 1.2.19-canary),https://github.com/oven-sh/bun/issues/21051
21068,crash,high,napi,1.2.18,yes,no,panic 'A C++ exception occurred' when native addon embeds Python which throws during init; uncaught C++ exception aborts Bun,https://github.com/oven-sh/bun/issues/21068
21072,crash,high,http-server,1.2.18,no,no,Segfault at 0x9 in JSC ConservativeRoots/MarkedBlock during GC stack scan after ~3h --hot Hono+Prisma server (Windows),https://github.com/oven-sh/bun/issues/21072
21097,not-memory,high,bundler,1.2.18,yes,no,"import.meta.env not lowered during --compile bundling, produces broken binary that throws TypeError at runtime (logic bug, not a memory crash)",https://github.com/oven-sh/bun/issues/21097
21098,crash,medium,http,1.2.18,yes,no,Segfault at 0x13D in JSC OpResolveScopeForHoistingFuncDeclInEval::dump while serving Next.js production /api/files request (musl baseline),https://github.com/oven-sh/bun/issues/21098
21127,assert,high,bake,1.2.19-canary,yes,yes,bun build --app panics with explicit TODO in bake/production.zig:148 when default export is not a plain object,https://github.com/oven-sh/bun/issues/21127
21134,not-memory,high,transpiler,1.2.18,yes,no,Stack trace reports wrong line (off-by-one) for TypeError in for-of over undefined,https://github.com/oven-sh/bun/issues/21134
21166,crash,high,event_loop,1.2.18,no,yes,Segfault at 0x10 in event_loop.Task.tickQueueWithCount while running standalone executable (fetch + process_dlopen + ws),https://github.com/oven-sh/bun/issues/21166
21213,not-memory,high,install-script,,yes,no,"Windows PowerShell irm cannot follow 308 redirect for bun.com/install.ps1 (install script/infra issue, not Bun runtime)",https://github.com/oven-sh/bun/issues/21213
21226,not-memory,high,node:net,1.2.19,yes,no,TypeError 'cannot be destructured' in node:net drain handler because socket.data is undefined (neo4j-driver),https://github.com/oven-sh/bun/issues/21226
21246,double-free,high,ffi,1.2.19,no,no,malloc double-free + segfault in TinyCC tccpp_new during bun:ffi/bun:cc Function.compile (bun-webui),https://github.com/oven-sh/bun/issues/21246
21286,crash,high,jsc,1.2.18,no,no,Segfault at 0x4 in JSC DFG WatchpointSet::state during ByteCodeParser on JIT worklist thread (Windows),https://github.com/oven-sh/bun/issues/21286
21287,crash,high,bundler,1.2.18,no,yes,panic 'attempt to use null value' in bundler computeCrossChunkDependencies sort comparator during --format cjs --splitting build,https://github.com/oven-sh/bun/issues/21287
21310,crash,medium,napi,1.2.19,no,no,Segfault at 0xFFFFFFFFFFFFFFFF inside third-party native-b58.node N-API addon on Windows,https://github.com/oven-sh/bun/issues/21310
21338,crash,high,install,1.2.0,yes,yes,Segfault in src.patch.gitDiffPostprocess during bun patch --commit on scoped package,https://github.com/oven-sh/bun/issues/21338
21348,crash,high,napi,1.2.19,yes,no,Segfault at 0x0 in node_module_register (v8/node.cpp) loading @datadog/pprof prebuild when profiling:true,https://github.com/oven-sh/bun/issues/21348
21353,crash,medium,runtime,1.2.19,no,no,"Heap-corruption segfault (ASCII '[[{""type' as pointer) in mimalloc _mi_malloc_generic via Buffer.from UTF16 inside crypto Hash.update after ~2h uptime",https://github.com/oven-sh/bun/issues/21353
21367,needs-repro,low,jsc,1.2.13,no,no,"Segfault in JSC GC MarkingConstraintSet/MarkedBlock sweep — no repro, no body, garbled trace",https://github.com/oven-sh/bun/issues/21367
21381,crash,medium,jsc,1.2.19,no,no,"SIGBUS in JSC DFG SpeculativeJIT::runSlowPathGenerators on background JIT thread (macOS x64, intermittent)",https://github.com/oven-sh/bun/issues/21381
21399,crash,low,http,1.2.7,no,no,Segfault at 0x4A on Windows (unsymbolicated) after TypeError thrown in Elysia/Logixlysia request handler under --watch,https://github.com/oven-sh/bun/issues/21399
21421,crash,high,runtime,1.2.19,yes,yes,Segfault in ntdll during Global.exit/globalExit after bun create nuxt@latest completes on Windows (no Node.js installed),https://github.com/oven-sh/bun/issues/21421
21492,not-memory,high,fetch,1.2.19,yes,no,"undici.Agent connect option ignored by Bun fetch dispatcher (feature gap, breaks fetch-socks)",https://github.com/oven-sh/bun/issues/21492
21515,crash,medium,http,1.2.19,no,no,Sporadic segfault at 0x10 (RefCounted.h) in long-running Hono WebSocket server on alpine/musl; reporter attributes to OpenSSL 3.3.4 bug in base image,https://github.com/oven-sh/bun/issues/21515
21524,crash,high,socket/node:net,1.2.19,yes,yes,Segfault at 0x0 in socket Handlers.unprotect when net.Socket.connect() called twice (JackdClient),https://github.com/oven-sh/bun/issues/21524
21559,crash,high,http_server (Bun.serve --hot),1.2.18-1.2.19,no,yes,Segfault at 0x4A in WriteBarrier::get / routeListGetCached during HTTP route dispatch after long --hot run,https://github.com/oven-sh/bun/issues/21559
21560,needs-repro,low,spawn/ipc,1.2.19,no,no,Slow RSS drift (~30MB) in idle spawned child; maintainer could not reproduce with provided script,https://github.com/oven-sh/bun/issues/21560
21567,crash,medium,bundler,1.2.19,no,yes,panic 'attempt to use null value' in computeCrossChunkDependencies sort (pdq lessThan),https://github.com/oven-sh/bun/issues/21567
21569,crash,medium,jsc (GC heap),1.2.18,no,no,Segfault in JSC MarkedBlock::isNewlyAllocatedStale during JSRopeString sweep/alloc on Windows,https://github.com/oven-sh/bun/issues/21569
21597,duplicate,high,jsc (FTL JIT),1.2.19,yes,no,Segfault in JSC FTL LowerDFGToB3 during Next.js docker build on linux aarch64; auto-closed as dup of #21214,https://github.com/oven-sh/bun/issues/21597
21609,needs-repro,low,http_server,1.2.6,no,no,"Segfault at 0x18 with all-?? trace, no repro, old version",https://github.com/oven-sh/bun/issues/21609
21675,crash,high,fs (node:fs readdirSync),1.2.19,yes,yes,Heap-corruption segfault in mimalloc realloc during readdirWithEntries ArrayList grow (prettier --experimental-cli),https://github.com/oven-sh/bun/issues/21675
21679,crash,medium,napi,1.2.19,no,no,SIGILL loading rollup .node native module on Raspberry Pi aarch64 (missing atomics CPU feature),https://github.com/oven-sh/bun/issues/21679
21683,needs-repro,low,standalone-executable (musl),1.2.19,no,no,Segfault at 0x0 in standalone executable on musl; backtrace is corrupted/nonsensical,https://github.com/oven-sh/bun/issues/21683
21784,crash,medium,jsc (bmalloc/libpas),1.2.9-canary.43,no,no,SIGILL in libpas pas_thread_local_cache_for_all / scavenger thread on macOS x64,https://github.com/oven-sh/bun/issues/21784
21792,crash,high,http_server (Bun.serve TLS/SNI),1.2.20-1.2.22,yes,yes,Segfault in server.zig RouteHandler when tls is an array of SNI certs; triggers on first request under load,https://github.com/oven-sh/bun/issues/21792
21798,needs-repro,low,http_server/fetch,1.2.17-canary.39,no,no,"Segfault at 0x58 after ~6 days uptime on EC2/musl; no decoded trace, old canary",https://github.com/oven-sh/bun/issues/21798
21818,crash,high,bun.js (Bun.escapeHTML / SIMD strings),1.2.20,no,yes,Segfault at 0x0 in escapeHTMLForLatin1Input SIMD path on linux aarch64 (random on CI),https://github.com/oven-sh/bun/issues/21818
21862,crash,medium,http_server (node:http via uWS),1.2.19,no,no,Segfault at 0x0 in uWS HttpContext::init on_data dispatch while running Vite dev server,https://github.com/oven-sh/bun/issues/21862
21864,crash,high,http (fetch client / s3),1.2.20,no,yes,"Null deref in http.zig HTTPThread.processEvents; intermittent in prod, suspected S3 streaming",https://github.com/oven-sh/bun/issues/21864
21869,assert,high,cli/bundler (highway SIMD),1.2.19-1.2.20,yes,yes,Internal assertion failure in highway.zig indexOfChar on no-AVX baseline (Windows ARM64 x64 emulation),https://github.com/oven-sh/bun/issues/21869
21872,assert,medium,sourcemaps,1.2.20,no,yes,Internal assertion failure in sourcemap.zig parseJSON lessThan during error remap in bun test,https://github.com/oven-sh/bun/issues/21872
21899,crash,high,resolver (Bun.resolveSync / Bun.build),1.2.20,no,yes,Null deref in resolver.zig loadAsFileOrDirectory via Bun.resolveSync during Bun.build (random ~30% on CI),https://github.com/oven-sh/bun/issues/21899
21904,crash,high,test-runner / module-loader (C++ JSC bindings),1.2.18-1.2.20,yes,no,jsCast<JSSourceCode*> assertion fail (segfault at 0x10) in moduleLoaderParseModule after parse error during bun test,https://github.com/oven-sh/bun/issues/21904
21917,crash,high,jsc/runtime,1.2.20,yes,no,Segfault at 0x30 in JSC::VM::VM constructor on hardened Linux (Secureblue W^X/deny_execmem) — JIT init fails,https://github.com/oven-sh/bun/issues/21917
21932,crash,high,install/patch,1.2.19,yes,yes,Segfault in patch.PatchFile.apply during bun install with patchedDependencies,https://github.com/oven-sh/bun/issues/21932
21988,not-memory,high,cli,,no,no,Feature request to reword the 'CPU lacks AVX support' error message; not a crash bug,https://github.com/oven-sh/bun/issues/21988
22002,crash,high,fs/Bun.file,1.2.20,yes,yes,panic 'attempt to cast negative value to unsigned integer' in Bun.file().arrayBuffer() on Windows Server,https://github.com/oven-sh/bun/issues/22002
22004,crash,medium,debugger/inspector,1.2.19,no,no,Segfault in JSC LLInt during module evaluation with --inspect (proprietary code),https://github.com/oven-sh/bun/issues/22004
22029,crash,high,http/fetch,1.2.19,yes,no,panic 'us_create_timer returned null: 24' (EMFILE) under fetch stress; reporter confirms fixed in 1.2.20,https://github.com/oven-sh/bun/issues/22029
22046,crash,low,http,1.2.20,no,no,Segfault at 0x7C on musl baseline with garbled symbolication; no repro provided,https://github.com/oven-sh/bun/issues/22046
22051,needs-repro,low,http/runtime,1.2.19,no,no,"Segfault at 0x7C after ~19h idle on musl baseline; corrupted symbolication, no repro",https://github.com/oven-sh/bun/issues/22051
22082,crash,high,fs/node:fs (Windows paths),1.2.20,no,yes,panic 'index out of bounds' in toKernel32Path / path_buffer_pool on Windows during node:fs sync call,https://github.com/oven-sh/bun/issues/22082
22220,crash,medium,jsc,1.2.19,no,no,Segfault in JSC FastStringifier (JSON.stringify) during sveltekit/vite hot reload on Windows,https://github.com/oven-sh/bun/issues/22220
22240,crash,medium,http/serve,1.2.21,no,yes,Segfault at 0x20 in Bun.serve RequestContext during us_socket_close callback,https://github.com/oven-sh/bun/issues/22240
22259,crash,medium,napi,1.2.21,no,no,napi_fatal_error panic 'Error::New napi_create_error' when native addon hits ENOSPC; unclear messaging,https://github.com/oven-sh/bun/issues/22259
22314,crash,high,debugger/inspector,1.2.20,yes,no,Segfault at 0x5 in JSC LLInt when web inspector connects mid-execution with --inspect,https://github.com/oven-sh/bun/issues/22314
22344,crash,high,shell/spawn,1.2.19,no,yes,panic 'integer overflow' in ref_count.zig deref (shell IO close) + segfault in uv__process_proc_exit on Windows with security DLL hooks,https://github.com/oven-sh/bun/issues/22344
22349,crash,low,jsc,1.2.19,no,no,One-off segfault in JSC StructureCache::createEmptyStructure on Windows during 'claude update',https://github.com/oven-sh/bun/issues/22349
22376,crash,high,worker,1.2.19,yes,yes,panic 'Uncaught exception while handling uncaught exception' (SIGTRAP) in worker threads with snarkjs/web-worker polyfill,https://github.com/oven-sh/bun/issues/22376
22380,not-memory,high,install/run,1.2.21,no,no,'could not create process' bin-remap error from corrupted node_modules; not a runtime crash,https://github.com/oven-sh/bun/issues/22380
22407,crash,medium,install/resolver (auto-install),1.2.21,no,yes,Segfault at 0x12 in PackageManager.runTasks during runtime auto-install resolution (nx build),https://github.com/oven-sh/bun/issues/22407
22420,crash,high,resolver/fs,1.2.20,yes,yes,Segfault in BSSStringList/OverflowList during fs.readdir in resolver (RunAsNode + vite),https://github.com/oven-sh/bun/issues/22420
22444,crash,medium,spawn/child_process,1.2.19,no,yes,Segfault in uv__queue_insert_tail during process.zig spawnProcess on Windows,https://github.com/oven-sh/bun/issues/22444
22514,oom,medium,fetch/streams,1.2.20,no,yes,OOM panic in ByteStream.onData copying fetch response body; Commit 16GB on 8GB Windows machine,https://github.com/oven-sh/bun/issues/22514
22533,crash,high,bake/dev-server,1.2.21,yes,yes,Null-value panic in bundle_v2.finishFromBakeDevServer when HMR reloads HTML imported with type:text,https://github.com/oven-sh/bun/issues/22533
22547,crash,high,bundler/macros,1.2.21,yes,yes,Intermittent segfault at 0x0 in AnyTask.New during Macro.Runner event-loop tick in bun build,https://github.com/oven-sh/bun/issues/22547
22551,not-memory,high,wasm,1.2.21,yes,no,"WASM RuntimeError 'Out of bounds memory access' thrown to JS from oniguruma module — JS-level trap, not a Bun process crash",https://github.com/oven-sh/bun/issues/22551
22567,needs-repro,low,zlib/http,1.2.17,no,no,"Segfault at 0x52 with zlib.createGunzip on http response; reporter cannot reproduce, all frames unknown",https://github.com/oven-sh/bun/issues/22567
22616,not-memory,high,build-system,,yes,no,"Windows clean-repo build fails: cmake HAVE_VISIBILITY_ATTR test exit code trips ninja — build infra bug, not runtime memory",https://github.com/oven-sh/bun/issues/22616
22674,crash,low,napi,1.2.21,no,yes,"'A C++ exception occurred' panic after 7.5min in filen-cli (NAPI+fetch heavy); corrupted stack, 4.76GB peak — likely NAPI memory corruption",https://github.com/oven-sh/bun/issues/22674
22691,crash,high,websocket-server,1.2.22,no,yes,Segfault at 0x198 in ServerWebSocketPrototype__send (uws WebSocket.zig) — send on closed/dangling socket,https://github.com/oven-sh/bun/issues/22691
